short_ticker,iso,entity,frequency,currency,transformation,scale,source,description,first_date,last_date,last_insert_timestamp
GDPCN,CN,China,Q,DOMESTIC,Period level,Hundreds Millions,"National Bureau of Statistics, China",Gross domestic product,2000-01-01,2023-10-01,2024-01-18 12:45:33.924570
PRCCN,CN,China,Y,DOMESTIC,Period level,Hundreds Millions,"National Bureau of Statistics, China",Private consumption,2000-01-01,2022-01-01,2023-12-24 13:42:01.249180
PUCCN,CN,China,Y,DOMESTIC,Period level,Hundreds Millions,"National Bureau of Statistics, China",Public consumption,2000-01-01,2022-01-01,2023-12-24 13:42:01.311883
CONCN,CN,China,Y,DOMESTIC,Period level,Hundreds Millions,"National Bureau of Statistics, China",Total consumption,2000-01-01,2022-01-01,2023-12-24 13:42:01.190846
GCFCN,CN,China,Y,DOMESTIC,Period level,Hundreds Millions,"National Bureau of Statistics, China",Gross capital formation,2000-01-01,2022-01-01,2023-12-24 13:42:01.368902
GFCFCN,CN,China,Y,INDEX,Period level,Units,"National Bureau of Statistics, China",Gross fixed capital formation,2000-01-01,2022-01-01,2023-12-24 13:42:01.431980
CICN,CN,China,Y,DOMESTIC,Period level,Hundreds Millions,"National Bureau of Statistics, China",Change in inventories,2000-01-01,2022-01-01,2023-12-24 13:42:01.490831
RGDPCN,CN,China,Q,DOMESTIC,Period level,Hundreds Millions,"National Bureau of Statistics, China",Real gross domestic product,2007-01-01,2023-10-01,2024-01-18 12:45:34.019110
GDPPCCN,CN,China,Y,DOMESTIC,Period level,Units,"National Bureau of Statistics, China",GDP per capita,2000-01-01,2022-01-01,2023-12-24 13:09:15.577168
CPICN,CN,China,M,INDEX,Period level,Units,"National Bureau of Statistics, China",Consumer price index,2016-01-01,2024-02-01,2024-03-09 12:47:41.335431
PPICN,CN,China,M,INDEX,Period level,Units,"National Bureau of Statistics, China",Producer price index,2016-01-01,2024-02-01,2024-03-09 12:49:52.554743
GBALCN,CN,China,M,DOMESTIC,Period level,Billions,"National Bureau of Statistics, China",Government balance,2019-01-01,2024-02-01,2024-03-26 07:07:13.955850
GSPECN,CN,China,M,DOMESTIC,Year level,Hundreds Millions,"National Bureau of Statistics, China",General government total expenditure,2000-01-01,2024-02-01,2024-03-29 08:19:22.164976
GREVCN,CN,China,M,DOMESTIC,Year level,Hundreds Millions,"National Bureau of Statistics, China",General government total revenue,2000-01-01,2024-02-01,2024-03-29 08:19:17.194875
GDEBTCN,CN,China,Y,DOMESTIC,Period level,Hundreds Millions,"National Bureau of Statistics, China",Government debt,2005-01-01,2022-01-01,2023-11-20 13:09:31.306348
URATECN,CN,China,M,PERCENT,Period level,Units,"National Bureau of Statistics, China",Unemployment,2018-01-01,2024-02-01,2024-03-18 12:46:37.776621
EMPCN,CN,China,Y,PERSONS,Period level,Tens thousands,"National Bureau of Statistics, China",Total employment,2000-01-01,2022-01-01,2023-06-06 13:57:29.893553
RETACN,CN,China,M,DOMESTIC,Year level,Hundreds Millions,"National Bureau of Statistics, China",Retail trade,2000-01-01,2024-02-01,2024-03-20 04:35:14.419436
IPCN,CN,China,M,DOMESTIC,% change on same period year ago,Units,"National Bureau of Statistics, China",Industrial production,1998-07-01,2023-12-01,2024-01-19 06:31:09.902870
ELECN,CN,China,M,OTHER NUMBER,Period level,Hundreds Millions,"National Bureau of Statistics, China",Production electricity,2000-02-01,2023-12-01,2024-01-18 10:26:04.934038
OILPRODCN,CN,China,M,BARRELS PER DAY,Period level,Thousands,Joint Organisations Data Initiative,Oil production,2002-01-01,2023-12-01,2024-02-19 15:41:40.518775
EXPCN,CN,China,M,DOMESTIC,Period level,Tens thousands,"National Bureau of Statistics, China",Exports of goods and services,2000-01-01,2022-03-01,2022-04-13 20:45:06.705106
IMPCN,CN,China,M,DOMESTIC,Period level,Tens thousands,"National Bureau of Statistics, China",Imports of goods and services,2000-01-01,2022-03-01,2022-04-13 20:45:06.724427
CACN,CN,China,Q,USD,Period level,Hundreds Millions,"National Bureau of Statistics, China",Current account balance,1998-01-01,2023-10-01,2024-03-29 12:45:11.661729
POPCN,CN,China,Y,PERSONS,Period level,Tens thousands,"National Bureau of Statistics, China",Population,2000-01-01,2022-01-01,2023-06-17 12:47:10.170528
HHSCN,CN,China,Y,DOMESTIC,Period level,Hundreds Millions,"National Bureau of Statistics, China",Household saving,2000-01-01,2021-01-01,2022-04-30 17:12:26.364427
HOUCN,CN,China,Q,INDEX,Period level,Units,Bank for International Settlements,House price,2005-04-01,2023-07-01,2023-12-24 04:19:03.009379
NIIPCN,CN,China,Q,USD,Period level,Hundreds Millions,"National Bureau of Statistics, China",Net international investment position,2011-01-01,2023-10-01,2024-03-29 12:45:15.762457
NPLCN,CN,China,Q,PERCENT,Period level,Units,International Monetary Fund,Non performing loans,2015-04-01,2019-07-01,2020-04-21 22:15:35.429487
Y10YDCN,CN,China,D,PERCENT,Period level,Units,ChinaBond,Long term yield,2015-01-04,2024-04-08,2024-04-08 12:47:49.408765
M3YDCN,CN,China,D,PERCENT,Period level,Units,ChinaBond,3 month yield,2015-10-09,2024-04-08,2024-04-08 22:45:11.856624
POLIRCN,CN,China,M,PERCENT,Period level,Units,Bank for International Settlements,Policy rate - short term,1996-01-01,2024-01-01,2024-02-08 00:16:36.636014
SEICN,CN,China,M,INDEX,Period level,Units,International Monetary Fund,Stock exchange index,1999-01-01,2019-02-01,2019-10-30 02:11:54.201350
REERCN,CN,China,M,INDEX,Period level,Units,Bank for International Settlements,Real effective exchange rate,1994-01-01,2024-02-01,2024-03-21 04:13:30.474031
M3CN,CN,China,M,DOMESTIC,Period level,Hundreds Millions,"National Bureau of Statistics, China",Money supply,2000-01-01,2024-02-01,2024-03-18 12:46:37.937778
CREDCN,CN,China,Q,DOMESTIC,Period level,Billions,Bank for International Settlements,Domestic credit,1995-10-01,2023-07-01,2024-03-05 03:59:42.854561
EQYCAPCN,CN,China,Y,DOMESTIC,Period level,Hundreds Millions,"National Bureau of Statistics, China",Market capitalization,2000-01-01,2022-01-01,2024-02-11 12:48:23.390499
LE00CN,CN,China,Y,OTHER NUMBER,Period level,Units,"National Bureau of Statistics, China",Life expectancy at birth,2000-01-01,2020-01-01,2022-12-04 13:29:25.633521
RPRCCN,CN,China,Y,DOMESTIC,Period level,Hundreds Millions,,Real private consumption,2007-01-01,2022-01-01,2023-12-24 20:47:41.055816
RPUCCN,CN,China,Y,DOMESTIC,Period level,Hundreds Millions,,Real public consumption,2007-01-01,2022-01-01,2023-12-24 20:47:41.062920
RGFCFCN,CN,China,Y,INDEX,Period level,Units,,Real gross fixed capital formation,2007-01-01,2022-01-01,2023-12-24 20:47:41.075031
RCICN,CN,China,Y,DOMESTIC,Period level,Hundreds Millions,,Real change in inventories,2007-01-01,2022-01-01,2023-12-24 20:47:41.068612
REXPCN,CN,China,M,DOMESTIC,Period level,Tens thousands,,Real exports of goods and services,2007-01-01,2021-10-01,2023-02-05 10:39:25.214758
RIMPCN,CN,China,M,DOMESTIC,Period level,Tens thousands,,Real imports of goods and services,2007-01-01,2021-10-01,2023-02-05 10:40:19.253491
NYCN,CN,China,Q,USD,Period level,Hundreds Millions,,Net income from abroad (Primary Income),2020-04-01,2021-10-01,2022-03-25 20:45:05.558320
NCTCN,CN,China,Q,USD,Period level,Hundreds Millions,,Net current transfers (Secondary Income),2020-04-01,2021-10-01,2022-03-25 20:45:05.576851
KACN,CN,China,Q,USD,Period level,Hundreds Millions,,Capital account,2020-04-01,2021-10-01,2022-03-25 20:45:05.610037
IIPACN,CN,China,Q,USD,Period level,Hundreds Millions,"National Bureau of Statistics, China",International investment position: Assets,2011-01-01,2023-10-01,2024-03-29 12:45:15.527871
IIPLCN,CN,China,Q,USD,Period level,Hundreds Millions,"National Bureau of Statistics, China",International investment position: Liabilities,2011-01-01,2023-10-01,2024-03-29 12:45:15.646835
CLICN,CN,China,M,INDEX,Period level,Units,OECD,OECD CLI,1978-01-01,2023-12-01,2024-01-13 00:40:29.550135
EXPMONCN,CN,China,M,USD,Period level,Thousands,"National Bureau of Statistics, China",Monthly exports,2000-01-01,2024-02-01,2024-03-26 07:00:13.986815
IMPMONCN,CN,China,M,USD,Period level,Thousands,"National Bureau of Statistics, China",Monthly imports,2000-01-01,2024-02-01,2024-03-26 07:01:09.346692
OILDEMCN,CN,China,M,BARRELS PER DAY,Period level,Thousands,Joint Organisations Data Initiative,Oil demand,2002-01-01,2023-12-01,2024-02-19 15:42:16.021008
GASOPRODCN,CN,China,M,BARRELS PER DAY,Period level,Thousands,Joint Organisations Data Initiative,Gasoline production,2002-01-01,2023-12-01,2024-02-19 15:42:55.745996
GASODEMCN,CN,China,M,BARRELS PER DAY,Period level,Thousands,Joint Organisations Data Initiative,Gasoline demand,2002-01-01,2023-12-01,2024-02-19 15:43:35.591189
GASPRODCN,CN,China,M,CUBIC METERS,Period level,Milions,Joint Organisations Data Initiative,Gas production,2009-01-01,2023-12-01,2024-02-19 15:15:41.987784
MBCN,CN,China,M,DOMESTIC,Period level,Hundreds Millions,"National Bureau of Statistics, China",Monetary base,2000-01-01,2024-02-01,2024-03-29 08:32:06.382577
GDPUS,US,United States,Q,DOMESTIC,Period level,Milions,Bureau of Economic Analysis,Gross domestic product,1947-01-01,2023-10-01,2024-01-25 21:29:14.395651
PRCUS,US,United States,Q,DOMESTIC,Period level,Milions,Bureau of Economic Analysis,Private consumption,1947-01-01,2023-10-01,2024-01-25 21:29:14.454252
PUCUS,US,United States,Q,DOMESTIC,Period level,Milions,Bureau of Economic Analysis,Public consumption,1947-01-01,2023-10-01,2024-01-25 21:29:14.512220
GFCFUS,US,United States,Q,DOMESTIC,Period level,Milions,Bureau of Economic Analysis,Gross fixed capital formation,1947-01-01,2023-10-01,2024-01-25 21:29:14.565340
CIUS,US,United States,Q,DOMESTIC,Period level,Milions,Bureau of Economic Analysis,Change in inventories,1947-01-01,2023-10-01,2024-01-25 21:29:14.687051
CBALUS,US,United States,M,DOMESTIC,Period level,Billions,U.S. Census Bureau,Commercial balance (goods + services),2009-01-01,2024-02-01,2024-04-04 13:12:46.197484
RGDPUS,US,United States,Q,DOMESTIC,Period level,Milions,Bureau of Economic Analysis,Real gross domestic product,1947-01-01,2023-10-01,2024-01-25 20:56:20.833854
GDPPCUS,US,United States,Q,DOMESTIC,Period level,Units,Bureau of Economic Analysis,GDP per capita,1947-01-01,2023-10-01,2024-01-25 20:56:26.549161
CPIUS,US,United States,M,INDEX,Period level,Units,Bureau of Labor Statistics,Consumer price index,1947-01-01,2024-02-01,2024-03-12 12:33:08.180337
PPIUS,US,United States,M,INDEX,Period level,Units,Bureau of Labor Statistics,Producer price index,2014-07-01,2024-02-01,2024-03-14 12:42:25.157957
GBALUS,US,United States,Q,DOMESTIC,Period level,Milions,Bureau of Economic Analysis,Government balance,1960-01-01,2023-10-01,2024-03-28 20:54:09.468022
GSPEUS,US,United States,Q,DOMESTIC,Period level,Milions,Bureau of Economic Analysis,General government total expenditure,1960-01-01,2023-10-01,2024-01-25 20:56:23.811122
GREVUS,US,United States,Q,DOMESTIC,Period level,Milions,Bureau of Economic Analysis,General government total revenue,1947-01-01,2023-10-01,2024-03-28 20:54:08.212120
GDEBTUS,US,United States,M,DOMESTIC,Period level,Milions,U.S. Treasury,Government debt,2001-03-01,2024-03-01,2024-04-05 17:20:05.359281
URATEUS,US,United States,M,PERCENT,Period level,Units,Bureau of Labor Statistics,Unemployment,1948-01-01,2024-03-01,2024-04-05 12:36:11.127163
JVRUS,US,United States,M,PERCENT,Period level,Units,Bureau of Labor Statistics,Job vacancy rate,2000-12-01,2024-02-01,2024-04-02 14:08:38.543253
JQRUS,US,United States,M,PERCENT,Period level,Units,Bureau of Labor Statistics,Job quits rate,2000-12-01,2024-02-01,2024-04-02 14:08:37.999608
JLRUS,US,United States,M,PERCENT,Period level,Units,Bureau of Labor Statistics,Job layoffs rate,2000-12-01,2024-02-01,2024-04-02 14:08:37.219029
JHRUS,US,United States,M,PERCENT,Period level,Units,Bureau of Labor Statistics,Job hires rate,2000-12-01,2024-02-01,2024-04-02 14:08:36.684759
WAGEMANUS,US,United States,M,DOMESTIC,Period level,Units,Bureau of Labor Statistics,Hourly wage manufacturing,2014-07-01,2023-09-01,2023-10-10 15:22:48.368409
EMPUS,US,United States,M,PERSONS,Period level,Thousands,Bureau of Labor Statistics,Total employment,1948-01-01,2024-02-01,2024-03-08 13:36:40.872974
EMRATIOUS,US,United States,M,RATIO,Period level,Units,Bureau of Labor Statistics,Employment to working age population,1948-01-01,2024-02-01,2024-03-08 13:36:42.538511
RETAUS,US,United States,M,INDEX,Period level,Units,U.S. Census Bureau,Retail trade,1992-01-01,2024-02-01,2024-03-15 12:00:08.133543
IPUS,US,United States,M,INDEX,Period level,Units,Board of Governors of the Federal Reserve,Industrial production,1919-01-01,2024-02-01,2024-03-18 13:12:43.701489
SENTUS,US,United States,M,INDEX,Period level,Units,Board of Governors of the Federal Reserve,Sentiment index,1969-01-01,2024-03-01,2024-03-22 09:00:07.037044
CONFUS,US,United States,M,,Period level,Units,OECD,Consumer confidence index,1960-01-01,2024-01-01,2024-02-02 00:47:13.393924
UTILUS,US,United States,M,PERCENT,Period level,Units,Board of Governors of the Federal Reserve,Utilization rate,1967-01-01,2024-02-01,2024-03-16 09:02:10.394185
ELEUS,US,United States,M,PERCENT,Period level,Units,Board of Governors of the Federal Reserve,Production electricity,1967-01-01,2024-02-01,2024-03-16 09:02:08.820586
OILPRODUS,US,United States,M,BARRELS PER DAY,Period level,Thousands,Joint Organisations Data Initiative,Oil production,2002-01-01,2024-01-01,2024-03-18 15:42:46.992493
EXPUS,US,United States,Q,DOMESTIC,Period level,Milions,U.S. Census Bureau,Exports of goods and services,1947-01-01,2023-10-01,2024-04-04 13:12:53.068254
IMPUS,US,United States,Q,DOMESTIC,Period level,Milions,U.S. Census Bureau,Imports of goods and services,1947-01-01,2023-10-01,2024-04-04 13:12:53.667209
CAUS,US,United States,Q,DOMESTIC,Period level,Milions,Bureau of Economic Analysis,Current account balance,1947-01-01,2023-10-01,2024-03-28 20:54:10.187247
POPUS,US,United States,M,PERSONS,Period level,Units,Bureau of Economic Analysis,Population,1952-01-01,2024-02-01,2024-03-29 20:55:56.542839
HOUUS,US,United States,M,INDEX,Period level,Units,"Federal Housing Finance Agency, US",House price,1991-01-01,2024-01-01,2024-03-26 23:28:17.779422
NIIPUS,US,United States,Q,DOMESTIC,Period level,Billions,Bureau of Economic Analysis,Net international investment position,2009-01-01,2023-10-01,2024-03-27 13:12:56.670364
NPLUS,US,United States,Q,PERCENT,Period level,Units,International Monetary Fund,Non performing loans,2009-01-01,2019-10-01,2020-06-02 22:15:57.480358
Y10YDUS,US,United States,M,PERCENT,Period level,Units,Board of Governors of the Federal Reserve,Long term yield,1953-04-01,2024-03-01,2024-04-08 09:01:33.156713
M3YDUS,US,United States,M,PERCENT,Period level,Units,Board of Governors of the Federal Reserve,3 month yield,1981-09-01,2024-03-01,2024-04-08 09:01:36.107601
POLIRUS,US,United States,M,PERCENT,Period level,Units,Board of Governors of the Federal Reserve,Policy rate - short term,1954-07-01,2024-03-01,2024-04-08 09:01:35.014143
EURUSD,US,United States,M,DOMESTIC,Period level,Units,Board of Governors of the Federal Reserve,Exchange rate v dollar,1999-01-01,2024-03-01,2024-04-02 09:01:51.332438
USDBRL,US,United States,D,DOMESTIC,Period level,Units,Board of Governors of the Federal Reserve,Exchange rate v dollar,1995-01-01,2024-03-31,2024-04-01 09:40:18.083836
USDCAD,US,United States,D,DOMESTIC,Period level,Units,Board of Governors of the Federal Reserve,Exchange rate v dollar,1971-01-01,2024-03-31,2024-04-01 09:40:20.957113
USDCHF,US,United States,D,DOMESTIC,Period level,Units,Board of Governors of the Federal Reserve,Exchange rate v dollar,1971-01-01,2024-03-31,2024-04-01 09:40:22.064319
USDCNY,US,United States,D,DOMESTIC,Period level,Units,Board of Governors of the Federal Reserve,Exchange rate v dollar,1981-01-01,2024-03-31,2024-04-01 09:40:24.291973
